DNI,Nombre,Apellido,edad,gender,Perdida de conciencia,Respirar,Movilidad,Dolor
820630415,Jarred,Burnall,78,M,True,True,True,True
320360158,Pierson,Nolder,12,M,True,True,True,False
940380573,Ronalda,Lober,21,F,True,True,False,False
997444469,Saraann,Priddie,115,F,True,True,True,True
342217108,Kristy,Thripp,34,F,True,False,False,False
624548045,Dan,Frodsham,80,M,True,True,False,True
108149603,Ninetta,Gloy,15,F,True,False,True,False
554392441,Nevile,Catherall,24,M,True,True,True,True
240132208,Austen,Wyse,92,M,True,True,False,True
090761136,Elna,Dowrey,100,F,True,True,True,True
402053912,Wolfie,Piatkow,19,M,True,True,False,False
820492292,Osmund,Andreasson,86,M,True,False,False,False
570479973,Corene,Petkov,82,F,False,False,True,False
886480977,Binni,Geist,59,F,True,False,True,False
018206319,Brien,Yell,33,M,True,True,False,True
295723985,Elvera,Dumbreck,74,F,True,True,True,True
973560940,Brigham,Brisco,60,M,True,False,True,True
919066560,Petr,Gatch,115,M,True,True,False,False
623494918,Federico,Chatters,81,M,True,True,False,False
449990308,Sherwood,Heinemann,90,M,True,True,True,True
344619391,Clayson,Cleiment,69,M,True,True,False,False
269626982,Seth,Lancashire,76,M,True,True,False,False
464111000,Aigneis,Hollow,73,F,True,True,False,True
529927022,Vassili,Polin,81,M,True,True,True,False
935323083,Minette,Muckersie,101,F,False,True,True,True
994088640,Luce,Dunstan,50,M,True,True,False,False
602624800,Baldwin,Heinemann,33,M,False,True,False,True
863273849,Karlens,Delafont,23,M,True,True,True,False
819233093,Zuzana,McNellis,52,F,True,True,False,False
976678213,Catherina,Egerton,115,F,True,True,True,False
951079262,Ingrim,Fishburn,31,M,True,True,False,True
538964307,Douglass,Nuss,23,M,True,False,True,True
280477554,Raff,Reskelly,25,M,True,True,True,False
283917564,Janaye,Thornebarrow,90,F,True,True,False,False
490221847,Joaquin,Threadgould,1,M,True,True,True,True
156000404,Amalea,Ebbings,87,F,True,True,True,False
515911291,Bethany,Matyja,119,F,True,True,False,True
477402100,Henrietta,Kulas,108,F,False,True,True,False
422662723,Nicola,Pawlicki,53,F,True,True,True,False
639099732,Brit,Peres,19,M,True,True,True,True
615700858,Harlie,Parker,88,F,True,True,True,True
116263667,Floria,Imrie,3,F,False,True,False,False
442611810,Jerri,Finlow,68,M,True,True,True,True
825468623,Mace,Quinnet,41,M,True,True,False,False
968968597,Ben,Wife,9,M,False,True,True,True
